ANZSCO Code,ANZSCO Title,ANZSCO Description,Softskill1,Softskill2,Softskill3,Softskill4,Softskill5,Techskill1,Techskill2,Techskill3,Technology Tool Example1,Technology Tool Example2,Technology Tool Example3,Course1,Course2,Course3,Course4,Course5,entry_requirements1,entry_requirements2,entry_requirements3,entry_requirements4,entry_requirements5
131112,Sales and Marketing Manager,"Plans, organises, directs, controls and coordinates the sales and marketing activities within an organisation.",Planning and organising,Initiative and innovation,Reading,Writing,Teamwork,Social media platforms,Customer relationship management CRM software,Enterprise resource planning ERP software,Facebook,Salesforce software,SAP Business Objects,Diploma of Fashion and Textiles Merchandising,Advanced Diploma of Fashion and Textiles Merchandising,,,,No minimum education,Diploma of Fashion and Textiles Merchandising,,,
132111,Corporate Services Manager,"Plans, organises, directs, controls and coordinates the overall administration of an organisation.",Initiative and innovation,Planning and organising,Writing,Oral communication,Reading,Enterprise resource planning ERP software,Business intelligence and decision support software,Project management software,SAP Business Objects,SAP Business Objects,Microsoft SharePoint,Advanced Diploma of Business,Advanced Diploma of Management,,,,Diploma of Business or other relevant qualification; or relevant employment experience,Diploma of Management; or relevant vocational experience in management,,,
132311,Human Resource Manager,"Plans, organises, directs, controls and coordinates the human resource and workplace relations activities within an organisation.",Planning and organising,Teamwork,Initiative and innovation,Reading,Writing,Document management and code versioning software,Enterprise resource planning ERP software,Social media platforms,Git,SAP Business Objects,Facebook,Advanced Diploma of Management (Human Resources),,,,,Relevant Diploma; or relevant vocational experience,,,,
133512,Production Manager (Manufacturing),"Plans, organises, directs, controls and coordinates the manufacturing activities of an organisation including physical and human resources.",Teamwork,Planning and organising,Initiative and innovation,Writing,Oral communication,Enterprise resource planning ERP software,Project management software,Video creation and editing software,SAP Business Objects,Microsoft SharePoint,Adobe After Effects,Certificate IV in Food Processing,Diploma of Food Processing,,,,Certificate III in Food Processing; or relevant vocational training and/or vocational experience,Certificate IV in Food Processing; or relevant vocational training and/or work experience,,,
133513,Production Manager (Mining),"Plans, organises, directs, controls and coordinates the production activities of a mining operation including physical and human resources.",Planning and organising,Initiative and innovation,Teamwork,Learning,Reading,Enterprise resource planning ERP software,Project management software,Business intelligence and decision support software,SAP Business Objects,Microsoft SharePoint,SAP Business Objects,Diploma of Surface Operations Management,,,,,No minimum education,,,,
134111,Child Care Centre Manager,"Plans, organises, directs, controls and coordinates the activities of a childcare centre or service including physical and human resources.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Accounting software,Social media platforms,,MYOB Business Essentials,Facebook,,Diploma of Children's Services (Early childhood education and care),,,,,Candidates must demonstrate competence in the following units: Identify and respond to children and young people at risk; Ensure the health and safety of children; Provide care for children; Contribute to provision of nutritionally balanced food in a safe and hygienic manner; Provide care for babies; Work within a relevant legal and ethical framework; Support the development of children; Interact effectively with children; Provide experiences to support children's play and learning; Develop understanding of children's interests and developmental needs; Apply first aid; Contribute to OHS processes,,,,
134214,Welfare Centre Manager,"Plans, organises, directs, controls and coordinates a centre, program or project concerned with social welfare support.",Planning and organising,Oral communication,Initiative and innovation,Teamwork,Reading,Business intelligence and decision support software,Enterprise resource planning ERP software,Patient management systems and electronic health records,SAP Business Objects,SAP Business Objects,3M Encoder,Graduate Diploma of Community Sector Management,Advanced Diploma of Community Sector Management,,,,Undergraduate Degree or postgraduate qualification in a discipline related to work in the community sector or business management; or significant vocational experience,Relevant Diploma or equivalent; or relevant vocational experience,,,
139912,Environmental Manager,"Plans, organises, directs, controls and coordinates the development and implementation of an environmental management system within an organisation by identifying, solving and alleviating environmental issues, such as pollution and waste treatment, in compliance with environmental legislation and to ensure corporate sustainable development.",Initiative and innovation,Planning and organising,Writing,Reading,Problem solving,Enterprise resource planning ERP software,Project management software,Statistical and data analysis software,SAP Business Objects,Microsoft SharePoint,SAS,,,,,,,,,,
141111,Cafe or Restaurant Manager,"Organises and controls the operations of a cafe, restaurant or related establishment to provide dining and catering services.",Teamwork,Initiative and innovation,Learning,Planning and organising,Reading,Point of sale (POS) and EFTPOS systems,Accounting software,Business intelligence and decision support software,Credit card processing machines,MYOB Business Essentials,SAP Business Objects,Certificate IV in Hospitality,Certificate IV in Catering Operations,Diploma of Hospitality,Advanced Diploma of Hospitality,,No minimum education,No minimum education,No minimum education. A lower level qualification in a relevant area of study or relevant employment experience is strongly recommended.,No minimum education,
142114,Hair or Beauty Salon Manager,Organises and controls the operations of a hairdressing or beauty salon. Registration or licensing may be required.,Teamwork,Initiative and innovation,Planning and organising,Reading,Oral communication,Social media platforms,,,Facebook,,,Diploma of Beauty Therapy,Diploma of Salon Management,,,,No minimum education,No minimum education,,,
149212,Customer Service Manager,"Plans, administers and reviews customer services and after-sales services, and maintains sound customer relations.",Planning and organising,Teamwork,Initiative and innovation,Oral communication,Reading,Customer relationship management CRM software,Enterprise resource planning ERP software,Social media platforms,Salesforce software,SAP Business Objects,Facebook,Certificate IV in Automotive Management,Diploma of Automotive Management,,,,No minimum education,No minimum education,,,
149311,Conference and Event Organiser,"Organises and coordinates services for conferences, events, functions, banquets and seminars.",Planning and organising,Teamwork,Initiative and innovation,Oral communication,Reading,Social media platforms,Graphics or photo imaging software,Financial analysis software,Facebook,Adobe Photoshop,Oracle E-Business Suite Financials,Diploma of Events,Advanced Diploma of Events,,,,No minimum education. Certificate III in a relevant area of study or relevant employment experience is strongly recommended.,No minimum education,,,
149413,Transport Company Manager,Organises and controls the operations of an enterprise that operates a fleet of vehicles to transport goods and passengers. Registration or licensing may be required.,Planning and organising,Initiative and innovation,Teamwork,Oral communication,Reading,Enterprise resource planning ERP software,Business intelligence and decision support software,Graphics or photo imaging software,SAP Business Objects,SAP Business Objects,Adobe Photoshop,Diploma of International Freight Forwarding,,,,,No minimum education,,,,
211111,Actor,"Entertains by portraying roles in film, television, radio and stage productions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",Teamwork,Initiative and innovation,Reading,Planning and organising,Oral communication,Social media platforms,Video creation and editing software,,Facebook,Adobe After Effects,,Advanced Diploma of Acting,Certificate II in Acting (Screen),Certificate III in Acting (Screen),,,Audition; Applicants must be at least 19 years of age,No minimum education,Certificate II in Acting - Screen,,
211112,Dancer or Choreographer,"Entertains by performing dances, or creates dance compositions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",Initiative and innovation,Teamwork,Oral communication,Planning and organising,Reading,Graphics or photo imaging software,Social media platforms,,Adobe Photoshop,Facebook,,Advanced Diploma of Dance,Diploma of Dance,Vocational Graduate Diploma of Classical Ballet,Certificate II in Dance,Certificate III in Dance,Diploma,No minimum education,Year 11 secondary schooling or equivalent,No minimum education,No minimum education. An audition or other form of evidence where the candidate demonstrates competence in at least one dance style at Certificate II level is required.
211311,Photographer,"Operates a still camera to take photographs. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",Planning and organising,Initiative and innovation,Digital engagement,Teamwork,Oral communication,Social media platforms,Web page creation and editing software,Graphics or photo imaging software,Facebook,WordPress,Adobe Photoshop,Diploma of Photo Imaging,Advanced Diploma of Photography,,,,Certificate IV in Photo Imaging; or Certificate IV in Visual Arts; or Certificate IV in Design; or relevant vocational experience,Year 12; or mature age; or relevant vocational experience; interview and presentation of a folio,,,
212112,Media Producer (excluding Video),"Plans, administers and reviews activities concerned with publishing, or the production of films, television or radio programs, theatre, music, festivals or other artistic activities.",Initiative and innovation,Planning and organising,Teamwork,Reading,Learning,Social media platforms,Web page creation and editing software,Graphics or photo imaging software,Facebook,WordPress,Adobe Photoshop,Diploma of Screen and Media,,,,,No minimum education,,,,
