Course Title,Qualification Level,entry_requirements,description
Animal Studies,Certificate I,No minimum education,"This qualification is part of the Animal Care and Management Training Package. It is a pre-vocational course for people who want to gain experience in the animal care industry. The course will help students develop basic skills and knowledge required for the care and maintenance of animals in a variety of workplaces including kennels, catteries, animal welfare centres and pet shops."
Animal Studies,Certificate II,No minimum education,This qualification is part of the Animal Care and Management Training Package. It is highly recommended that whilst undertaking this qualification the learner should seek to gain a period of work placement or work experience in an animal care environment and/or workplace.
Animal Studies,Certificate III,No minimum education,This qualification is part of the Animal Care and Management Training Package. It is for persons operating at an assistant level and undertaking animal care functions in an animal care workplace.
Animal Technology,Certificate III,Access to relevant workplace; no minimum education; or Certificate II in Animal Studies; or mature age,"This qualification is part of the Animal Care and Management Training Package. It is the industry qualification for persons operating at a junior or assistant level and undertaking animal technology functions within a scientific environment. It is highly recommended that whilst undertaking this qualification, the learner should have access to an animal technology workplace through either paid employment or a period of work placement or work experience."
Captive Animals,Certificate III,Certificate II in Animal Studies; or relevant work experience. Access to a captive animal workplace while undertaking this qualification is recommended.,"This qualification is part of the Animal Care and Management Training Package. It is a general industry qualification for persons operating at pre-trade level and undertaking animal care functions in a captive animal facility or institution. It is highly recommended that whilst undertaking this qualification, the learner should have access to a captive animal workplace through either paid employment or substantial periods of work placement or work experience blocks."
Companion Animal Services,Certificate III,No minimum education. Certificate II in Animal Studies; or relevant vocational training and/or vocational experience across a range of work settings is recommended.,"This qualification is part of the Animal Care and Management Training Package. It is the industry qualification for persons operating within a companion animal organisation. It is highly recommended that whilst undertaking this qualification, the learner should have access to a companion animal workplace through either paid employment or substantial periods of work placement or work experience blocks."
Farriery,Certificate III,An apprenticeship contract,"This qualification is part of the Animal Care and Management Training Package. It is for people who want to become a farrier tradesperson, either working for an established farriery business or operating their own business. During the course, students will learn how to handle horses and equipment safely; use a forge; weld using metal arc, gas metal arc and oxy acetylene; use power tools; use, maintain, repair, and manufacture hand tools; establish foot care and shoeing plans for horses and keep records."
Animal Control and Regulation,Certificate IV,Workplace access,"This qualification is part of the Animal Care and Management Training Package. It is the industry qualification for persons undertaking animal control and regulatory functions. Animal control and regulation (also known as urban animal management) is a function provided by local and state/territory governments. It provides a community management service comprising four elements - regulation, education, information and infrastructure. It is highly recommended that whilst undertaking this qualification, the learner should have access to an animal control and regulation workplace through either paid employment or substantial periods of work placement or work experience blocks."
Companion Animal Services,Certificate IV,No minimum education. Certificate III in Animal Studies; Certificate III in Companion Animal Services; or relevant vocational experience is recommended.,"This qualification is part of the Animal Care and Management Training Package. It is for companion animal workers who want to develop skills that include the special care of a variety of animals, managing and maintaining specialised animal housing facilities, and monitoring and maintaining the health of companion animals. Graduates can specialise in areas such as companion animal grooming services, breeding companion animal livestock, purchasing companion animal livestock and training companion animals."
Animal Technology,Diploma,No minimum education. Certificate III in Animal Studies; Certificate III in Animal Technology; or relevant vocational experience is recommended.,"This qualification is part of the Animal Care and Management Training Package. It is the industry qualification for persons aiming to operate at a senior or managerial level and undertaking animal technology functions within a biomedical research or production environment. It is highly recommended that while undertaking this qualification, the learner should have access to an animal technology workplace through either paid employment or substantial periods of work placement or work experience blocks."
Conservation and Land Management,Certificate I,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It is an entry-level qualification aimed at individuals entering the conservation and land management industry. It allows individuals to develop basic skills and knowledge to prepare for work. The qualification is suited to learners with no previous connection to the conservation and land management industry or relevant employment history."
AgriFood Operations,Certificate I,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It is an entry-level qualification aimed at individuals entering the agriculture, horticulture and conservation and land management industries. It allows individuals to develop basic skills and knowledge to prepare for work. The qualification is suited to learners with no previous connection to the agriculture, horticulture or conservation and land management industries or relevant employment history."
Agriculture,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It is an entry level occupational outcome in agriculture. The qualification enables individuals to select a livestock production or cropping context as a job focus or, in the case of mixed farming enterprises, both."
Production Horticulture,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It enables individuals to select a tree cropping, vegetable or berry production or mushroom production context as a job focus or, in the case of mixed enterprises, both."
Horticulture,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides the skills and knowledge which underpin a range of work functions and job roles that can lead to a horticultural trade qualification."
Parks and Gardens,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an occupational outcome in parks and gardens. The parks and gardens industry expects this qualification to be achieved to meet job outcomes at this level."
Production Nursery,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an occupational outcome in the production nursery industry. The nursery industry expects this qualification to be achieved to meet job outcomes at this level."
Retail Nursery,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an occupational outcome in retail nursery. The nursery industry expects this qualification to be achieved to meet job outcomes at this level."
Sports Turf Management,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an occupational outcome in green-keeping. The sports turf industry expects this qualification to be achieved to meet job outcomes at this level."
Conservation and Land Management,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an occupational outcome in conservation and land management. It enables individuals to select an Indigenous land management, conservation earthworks, lands, parks and wildlife or natural area management context as a job focus or a mix of these."
Shearing,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an entry level occupational outcome in shearing. It recognises the work of an improver shearer who is able to shear sheep to an acceptable industry standard. The shearing industry expects this qualification to be achieved to meet job outcomes at this level."
Wool Handling,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an entry level occupational outcome in wool handling. The wool industry expects this qualification to be achieved to meet job outcomes at this level."
Landscaping,Certificate II,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an occupational outcome in landscaping. The landscaping industry expects this qualification to be achieved to meet job outcomes at this level."
Agriculture,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome in agriculture. The qualification enables individuals to select a livestock production or cropping context as a job focus or, in the case of mixed farming enterprises, both."
Agriculture (Dairy Production),Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a vocational outcome in dairying. The dairy industry expects this qualification to be achieved to meet job outcomes at this level."
Horse Breeding,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a vocational outcome in horse breeding. The horse breeding industry expects this qualification to be achieved to meet job outcomes at this level."
Pork Production,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a vocational outcome in the pork production industry. The pork industry expects this qualification to be achieved to meet job outcomes at this level."
Poultry Production,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a vocational outcome in poultry production. The poultry industry expects this qualification to be achieved to meet job outcomes at this level."
Production Horticulture,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a vocational outcome in production horticulture. The qualification enables individuals to select a tree cropping, vegetable or berry production or mushroom production context as a job focus or, in the case of mixed enterprises, both."
Horticulture,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides general skills and knowledge in amenity horticulture. Possible job outcomes include Horticulturist and Gardener."
Arboriculture,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome in arboriculture. The arboriculture industry expects this qualification to be achieved to meet job outcomes at this level."
Landscape Construction,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome in landscape construction. The landscaping industry expects this qualification to be achieved to meet job outcomes at this level."
Parks and Gardens,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a vocational outcome in parks and gardens. The parks and gardens industry expects this qualification to be achieved to meet job outcomes at this level."
Production Nursery,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome for a nurseryperson working in a production nursery. The nursery industry expects this qualification to be achieved to meet job outcomes at this level."
Retail Nursery,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome for a retail nursery or garden centre sales assistant. The nursery industry expects this qualification to be achieved to meet job outcomes at this level."
Sports Turf Management,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome in greenkeeping. The sports turf industry expects this qualification to be achieved to meet job outcomes at this level."
Conservation and Land Management,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome in the conservation and land management industry. The qualification enables individuals to select an Indigenous land management, lands, parks and wildlife or natural area management context as a job focus or a mix of these."
Commercial Composting,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome in commercial composting."
Rural Machinery Operations,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a general vocational outcome in agricultural plant operations."
Rural Merchandising,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides a vocational outcome in rural merchandising."
Rural Operations,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It provides an occupational outcome in agriculture, horticulture and conservation land management and at least one and up to three other related industries. Depending on the units selected individuals will be able to seek employment not only in rural industries but also other industry sectors, such as local government, tourism, hospitality, transport, construction, information technology and metals."
Shearing,Certificate III,Certificate II in Shearing or by Recognition of Prior Learning,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It relates to shearing at the professional level. This requires a high standard of workmanship at a rate of at least 120 sheep per day. The shearing industry expects this qualification to be achieved to meet job outcomes at this level."
Wool Clip Preparation,Certificate III,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It is a specialist wool-classing qualification for owner classers and enables them to apply for registration with AWEX Ltd. It is the minimum mandatory requirement for persons wishing to apply to the Australian Wool Exchange Ltd for registration as an Owner Wool Classer."
Agriculture,Certificate IV,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop post-trade skills and knowledge to become specialists within the agriculture industry. It is designed to meet the needs of supervisors or team leaders in the agriculture industry."
Production Horticulture,Certificate IV,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop post-trade skills and knowledge to become specialists within the production horticulture industry. It is designed to meet the needs of supervisors or team leaders in the production horticulture industry. The qualification enables individuals to select a tree cropping, vegetable, berry or flower production or mushroom production context as a job focus or, in the case of mixed enterprises, both."
Horticulture,Certificate IV,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop post-trade skills and knowledge across a broad coverage of the industry prior to undertaking higher level roles in the industry."
Parks and Gardens,Certificate IV,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop post-trade skills and knowledge to become a senior or head gardener. The parks and gardens industry expects this qualification to be achieved to meet job outcomes at this level."
Production Nursery,Certificate IV,No minimum entry,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop post-trade skills and knowledge to become specialists within the production nursery industry. The nursery industry expects this qualification to be achieved to meet job outcomes at this level."
Conservation and Land Management,Certificate IV,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop post-trade skills and knowledge to become specialists within the conservation and land management industry. This qualification enables a selection of units from Indigenous land management, natural area restoration, conservation earthworks or lands, parks and wildlife to create a general qualification as a job focus."
Agribusiness,Certificate IV,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop agribusiness skills and knowledge within the agriculture and production horticulture industry. They may undertake a range of complex and non-routine tasks related to the administration of an agribusiness. The range of technical skills and knowledge is proficient and leadership of others would be expected."
Agriculture,Diploma,Entrance requirements vary between providers.,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of personnel working on farms and stations who manage enterprise production units and employees and sole operators of agribusinesses who provide crop production advice and services to production enterprises."
