property_id,lat,lng,addr_street,suburb,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,House_report,Median_house_price,House_quarterly_growth,House_twelve_month_growth,House_average_annual_growth
83851,-37.85,145.00,30 Banole Avenue,PRAHRAN,19946,0.93,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
84203,-37.85,145.00,6 Aberdeen Road,PRAHRAN,19947,0.90,12,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
84349,-37.85,145.01,75 Pridham Street,PRAHRAN,19946,0.73,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83478,-37.85,144.99,13 Athol Street,PRAHRAN,19958,0.34,-1,-1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
84124,-37.86,145.00,50 Packington Street,PRAHRAN,19946,1.03,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83340,-37.85,145.00,1 Bella Street,PRAHRAN,19958,0.63,-1,-1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83941,-37.85,145.00,37 Murray Street,PRAHRAN,19947,0.64,12,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83367,-37.85,145.00,1/70 Williams Road,PRAHRAN,19957,0.93,-1,-1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83853,-37.85,145.00,30 Clifton Street,PRAHRAN,19958,0.52,-1,-1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
84237,-37.85,145.01,61 Pridham Street,PRAHRAN,19946,0.77,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83772,-37.86,145.01,26 Irving Avenue,PRAHRAN,19946,0.97,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
